Province,Biomass\timestep,1,2,3,4,5,6,7,8,9,10,11,12
Province_11,12 Oil palm bunch,120.64,96.96,193.92,372.8,546.56,302.4,539.52,1125.76,852.16,309.44,390.4,492.16
Province_11,13. Oil palm fiber,71.63,57.57,115.14,221.35,324.52,179.55,320.34,668.42,505.97,183.73,231.8,292.22
Province_11,14. Oil palm shell,15.08,12.12,24.24,46.6,68.32,37.8,67.44,140.72,106.52,38.68,48.8,61.52
Province_11,15. Coconut bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_11,16. Coconut bract,0,0,0,0,0,0,0,0,0,0,0,0
Province_11,17. Coconut shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_12,1. Rice straw,389.06,3107.58,6370.49,1399.44,694.82,643.37,464.03,1313.69,1797.32,2481.85,5123.44,3475.57
Province_12,2. Rice Husk,166.74,1331.82,2730.21,599.76,297.78,275.73,198.87,563.01,770.28,1063.65,2195.76,1489.53
Province_12,3. Sugarcane leaves,54889.31667,54889.31667,0,0,0,0,0,0,0,0,0,54889.31667
Province_12,4. Bagasse,90405.93333,90405.93333,0,0,0,0,0,0,0,0,0,90405.93333
Province_12,5. Molasse,16143.91667,16143.91667,0,0,0,0,0,0,0,0,0,16143.91667
Province_12,6. Corn leaves & trunk,980.72,1074.56,559.36,375.36,320.16,246.56,920,844.56,362.48,349.6,237.36,316.48
Province_12,7. Corncobob,127.92,140.16,72.96,48.96,41.76,32.16,120,110.16,47.28,45.6,30.96,41.28
Province_12,8. Peeled cassava,92296.8,91326.24,59053.68,36116.64,24668.64,11109.6,6885.36,5575.68,11067.12,10729.44,37848.24,35736.48
Province_12,9. Cassava rhizome,25638,25368.4,16403.8,10032.4,6852.4,3086,1912.6,1548.8,3074.2,2980.4,10513.4,9926.8
Province_12,10. Cassava fiber,7691.4,7610.52,4921.14,3009.72,2055.72,925.8,573.78,464.64,922.26,894.12,3154.02,2978.04
Province_12,11. Cassava peels,35893.2,35515.76,22965.32,14045.36,9593.36,4320.4,2677.64,2168.32,4303.88,4172.56,14718.76,13897.52
Province_12,12 Oil palm bunch,4189.76,5728,6784.64,10983.36,11910.08,9565.12,8805.12,5663.04,9639.36,7952.64,6089.6,5375.68
Province_12,13. Oil palm fiber,2487.67,3401,4028.38,6521.37,7071.61,5679.29,5228.04,3362.43,5723.37,4721.88,3615.7,3191.81
Province_12,14. Oil palm shell,523.72,716,848.08,1372.92,1488.76,1195.64,1100.64,707.88,1204.92,994.08,761.2,671.96
Province_12,15. Coconut bunch,568981.74,563240.32,573000.85,341044.64,476543.66,352527.48,387550.78,283629.57,619506.99,376067.65,679218.57,520179.09
Province_12,16. Coconut bract,647461.98,640928.64,652035.45,388085.28,542273.82,401151.96,441006.06,322750.89,704956.23,427939.05,772903.89,591927.93
Province_12,17. Coconut shell,490501.5,485552,493966.25,294004,410813.5,303903,334095.5,244508.25,534057.75,324196.25,585533.25,448430.25
Province_13,1. Rice straw,228.83,27.93,0,0,0,0,0,0,0,0,61.74,359.66
Province_13,2. Rice Husk,98.07,11.97,0,0,0,0,0,0,0,0,26.46,154.14
Province_13,3. Sugarcane leaves,0,0,0,0,0,0,0,0,0,0,0,0
Province_13,4. Bagasse,0,0,0,0,0,0,0,0,0,0,0,0
Province_13,5. Molasse,0,0,0,0,0,0,0,0,0,0,0,0
Province_13,6. Corn leaves & trunk,33.12,38.64,29.44,31.28,25.76,25.76,79.12,71.76,20.24,25.76,22.08,23.92
Province_13,7. Corncobob,4.32,5.04,3.84,4.08,3.36,3.36,10.32,9.36,2.64,3.36,2.88,3.12
Province_13,8. Peeled cassava,0,0,0,0,0,0,0,0,0,0,0,0
Province_13,9. Cassava rhizome,0,0,0,0,0,0,0,0,0,0,0,0
Province_13,10. Cassava fiber,0,0,0,0,0,0,0,0,0,0,0,0
Province_13,11. Cassava peels,0,0,0,0,0,0,0,0,0,0,0,0
Province_13,12 Oil palm bunch,50400,56229.12,63224.32,76317.44,66363.2,54435.52,67798.08,67528.96,99813.76,95150.08,100082.56,99455.04
Province_13,13. Oil palm fiber,29925,33386.04,37539.44,45313.48,39403.15,32321.09,40255.11,40095.32,59264.42,56495.36,59424.02,59051.43
